5.553;0.58;0.049;1.084;-1.706;-0.072;-2.592;-0.984;1.923;-0.176;-1.61;0.84;0.653;0.704;0.625;0.692
5.552;0.579;0.048;1.085;-1.707;-0.072;-2.591;-0.984;1.923;-0.176;-1.611;0.841;0.654;0.701;0.623;0.691
5.549;0.579;0.049;1.086;-1.707;-0.071;-2.592;-0.986;1.922;-0.176;-1.613;0.84;0.654;0.706;0.628;0.696
5.546;0.579;0.05;1.085;-1.707;-0.072;-2.592;-0.987;1.92;-0.176;-1.613;0.841;0.654;0.701;0.623;0.691
5.544;0.578;0.05;1.086;-1.709;-0.073;-2.595;-0.988;1.92;-0.176;-1.617;0.842;0.654;0.706;0.627;0.695
5.542;0.579;0.05;1.085;-1.708;-0.072;-2.595;-0.988;1.921;-0.176;-1.618;0.843;0.655;0.708;0.629;0.696
5.54;0.579;0.05;1.085;-1.708;-0.072;-2.595;-0.989;1.924;-0.177;-1.616;0.843;0.655;0.706;0.628;0.696
5.539;0.579;0.053;1.085;-1.707;-0.072;-2.595;-0.99;1.928;-0.177;-1.613;0.844;0.655;0.702;0.623;0.691
5.539;0.579;0.053;1.085;-1.706;-0.072;-2.595;-0.99;1.93;-0.176;-1.612;0.843;0.653;0.703;0.624;0.693
5.538;0.579;0.054;1.085;-1.706;-0.073;-2.595;-0.992;1.931;-0.175;-1.61;0.844;0.653;0.7;0.621;0.688
5.538;0.579;0.054;1.085;-1.706;-0.072;-2.594;-0.992;1.93;-0.175;-1.611;0.843;0.654;0.703;0.624;0.693
5.539;0.58;0.055;1.084;-1.707;-0.072;-2.594;-0.993;1.928;-0.176;-1.612;0.844;0.654;0.704;0.625;0.695
5.539;0.579;0.055;1.084;-1.707;-0.074;-2.591;-0.992;1.927;-0.176;-1.615;0.843;0.655;0.703;0.625;0.693
5.538;0.579;0.054;1.083;-1.706;-0.072;-2.591;-0.992;1.926;-0.177;-1.613;0.843;0.655;0.702;0.622;0.689
5.54;0.579;0.054;1.081;-1.706;-0.072;-2.591;-0.992;1.926;-0.177;-1.612;0.842;0.654;0.705;0.626;0.695
5.542;0.578;0.055;1.083;-1.706;-0.072;-2.592;-0.99;1.926;-0.177;-1.609;0.84;0.653;0.699;0.621;0.688
5.543;0.578;0.055;1.083;-1.707;-0.073;-2.593;-0.99;1.927;-0.177;-1.608;0.837;0.652;0.701;0.623;0.692
5.546;0.579;0.056;1.085;-1.707;-0.073;-2.594;-0.989;1.925;-0.177;-1.606;0.836;0.651;0.7;0.622;0.689
5.549;0.579;0.056;1.084;-1.707;-0.074;-2.594;-0.988;1.923;-0.178;-1.607;0.835;0.651;0.699;0.622;0.69
5.552;0.581;0.058;1.084;-1.707;-0.074;-2.595;-0.989;1.923;-0.177;-1.609;0.834;0.652;0.703;0.623;0.69
5.554;0.58;0.057;1.083;-1.708;-0.073;-2.596;-0.99;1.923;-0.178;-1.608;0.834;0.652;0.7;0.622;0.69
5.554;0.581;0.056;1.085;-1.706;-0.073;-2.594;-0.989;1.924;-0.178;-1.608;0.834;0.652;0.699;0.621;0.688
5.553;0.581;0.055;1.084;-1.706;-0.073;-2.595;-0.987;1.922;-0.176;-1.608;0.833;0.652;0.699;0.621;0.69
5.554;0.581;0.054;1.083;-1.706;-0.073;-2.593;-0.983;1.922;-0.177;-1.608;0.834;0.652;0.7;0.622;0.689
5.553;0.581;0.055;1.084;-1.705;-0.073;-2.593;-0.981;1.921;-0.177;-1.605;0.833;0.652;0.701;0.623;0.691
5.553;0.58;0.054;1.084;-1.704;-0.072;-2.592;-0.98;1.919;-0.176;-1.604;0.832;0.652;0.7;0.621;0.688
5.553;0.582;0.052;1.083;-1.704;-0.072;-2.59;-0.98;1.919;-0.177;-1.605;0.833;0.652;0.701;0.622;0.692
5.557;0.58;0.052;1.084;-1.705;-0.073;-2.59;-0.981;1.921;-0.176;-1.605;0.83;0.651;0.698;0.619;0.685
5.559;0.584;0.051;1.085;-1.707;-0.072;-2.59;-0.984;1.921;-0.177;-1.604;0.831;0.651;0.702;0.624;0.692
5.562;0.583;0.051;1.084;-1.707;-0.072;-2.59;-0.985;1.923;-0.177;-1.603;0.826;0.65;0.701;0.622;0.689
5.564;0.585;0.05;1.084;-1.708;-0.071;-2.591;-0.987;1.924;-0.178;-1.603;0.828;0.649;0.698;0.62;0.688
